Start,Stop
318,1673
3121,4464
5238,5981
6030,7970
8065,10593
11166,12242
12990,13886
14083,14814
14943,15065
15609,15668
16219,17325
17828,17899
18139,19323
21652,23085
24194,24934
25158,25220
25286,25351
25862,26665
27495,28199
28254,28895
29042,29110
29350,29415
29967,31004
31575,31631
31759,31809
32197,32535
33197,33322
34654,35619
35802,38018
39385,40470
40705,41730
41800,43188
43539,43598
44239,44334
44708,45223
45325,46434
46997,47230
47499,47591
47722,47994
48080,49306
49585,49878
49930,49980
50070,50129
50514,50753
50907,51518
51775,52389
54235,54672
54839,56812
57083,57145
57286,58638
58897,60189
60506,60799
60948,64154
64950,66146
67495,70656
71064,71363
71564,72061
72408,74222
74572,75228
75522,75665
76018,76125
76262,76984
77421,77498
77675,77737
78066,78374
78686,78811
79047,79820
80261,80869
81658,82617
82959,84437
85025,85627
88888,94767
95241,97070
97286,97369
98182,98412
98583,99905
100964,102142
102423,103028
103318,103836
104134,105099
105288,105929
106988,107377
107499,107849
108082,108285
108395,108610
108726,109256
109349,109720
110315,110413
111835,111900
111966,112283
112386,113288
113815,113895
116972,117805
118145,118267
118489,118956
119060,119770
121820,122092
122795,123187
123563,123712
123760,124062
124104,124508
124679,124801
124867,126363
126648,127178
127675,127725
127866,128324
128634,129203
129694,130230
130652,131380
133422,133493
134219,134710
135798,135893
136391,136441
136529,136702
136780,136992
137316,137399
137449,138897
138999,139949
140120,140173
141052,141336
141376,141705
142480,142539
144097,144273
144397,144840
145869,146306
146849,146908
147399,147764
147884,148291
149616,149714
150232,151173
151402,151890
151998,152645
152833,152892
153608,155947
156705,156842
160740,161378
162898,162984
163116,163166
163465,164298
164365,164424
164525,164698
165008,165508
165565,165639
165761,166642
167086,167943
168011,169270
169510,172008
172245,172298
172450,172509
172608,172703
174834,175694
175766,177760
177924,179138
179720,180052
180139,180900
181007,181081
181187,181255
182603,185569
186044,186133
187039,187863
187957,189528
189625,190398
190696,191916
193417,193473
193593,193850
193989,194870
194949,195629
195793,196611
196786,197463
197512,198204
199083,199409
200094,200402
200522,200830
200971,201096
201217,202590
202782,203597
205819,207408
207739,209271
209470,211389
211452,212294
212366,212689
212824,213285
215721,216344
216434,217018
217125,217685
217800,221339
221817,222959
223139,223261
223490,223876
224027,224455
224664,226508
226854,228929
229720,229824
230374,230724
230840,231766
232662,233477
233560,233865
234916,234978
235083,235409
235524,237020
238119,238229
238536,238595
238663,238755
240178,240267
241435,241686
242414,242524
243171,243254
244140,244250
244557,244616
244684,244776
245383,245433
246199,246288
247456,247707
248555,249013
249112,249165
249541,250563
250661,253054
253200,254573
254707,255780
256491,256964
257109,258458
258739,258822
259175,259309
259477,260892
261349,261426
261565,261618
261768,262061
262308,262367
262421,262576
262657,263262
263366,263515
264432,264902
265029,265454
265494,266183
266303,266374
266431,266931
267010,267372
267530,267916
268374,268949
268991,269116
269634,269729
270648,270977
271051,271158
271257,271349
271480,272502
273003,276557
276728,280333
280410,280955
282063,282128
282755,284227
284365,286011
286219,287718
287853,288992
289139,289555
290186,290521
290593,291228
291312,293198
294739,294891
297842,297910
299302,299394
299607,300578
303824,303901
304133,304684
309865,310719
310932,311645
311830,313662
314984,315823
315945,316775
316873,318375
318419,318487
319009,319158
319235,319528
320542,321279
321495,321545
321657,321722
323557,323700
326149,326214
326618,326698
327511,327561
